predict_true,predict_error,true
0.99998546,1.4496177e-05,0
1.0,6.8796565e-17,0
0.99998486,1.5170396e-05,0
1.0,3.762254e-18,0
0.99999714,2.8203992e-06,0
1.0,3.5287757e-17,0
1.0,3.4052485e-17,0
1.0,3.5235833e-17,0
0.99999666,3.317253e-06,0
0.100319274,0.89968073,1
1.0,2.1858407e-17,0
1.0,4.3906942e-17,0
1.0,3.366128e-17,0
1.0,2.2803922e-17,0
0.9999858,1.4200463e-05,0
1.0,3.38436e-17,0
1.0,1.6864724e-10,0
1.0,3.868866e-17,0
1.0,7.405839e-17,0
0.99627244,0.0037275087,0
1.0,2.2149415e-17,0
1.0,1.4093803e-17,0
1.0,2.5557404e-17,0
1.0,4.3906773e-17,0
0.011409761,0.9885902,1
1.0,2.902481e-17,0
0.9999951,4.885217e-06,0
1.0,5.670418e-17,0
0.9999927,7.323386e-06,0
1.0,5.0010728e-17,0
0.9999958,4.22621e-06,0
1.0,4.2985636e-18,0
1.0,6.5298485e-17,0
1.0,1.1831918e-17,0
0.006498239,0.9935017,1
0.15003066,0.8499694,1
0.99999404,6.0068623e-06,0
1.0,3.0698793e-17,0
1.0,4.2120325e-17,0
1.0,3.17987e-17,0
1.0,3.5849336e-17,0
0.99999547,4.5699085e-06,0
1.0,3.0632348e-17,0
1.0,1.5856375e-16,0
1.0,2.7018725e-17,0
0.99999046,9.489227e-06,0
1.0,3.5957124e-17,0
0.9999963,3.748818e-06,0
0.9999939,6.073978e-06,0
1.0,2.6495427e-17,0
0.9999362,6.3721425e-05,0
1.0,2.8993938e-17,0
1.0,2.796714e-17,0
0.99999297,6.981604e-06,0
0.9999974,2.606285e-06,0
1.0,2.2425888e-18,0
1.0,3.002291e-17,0
1.0,2.6112332e-17,0
1.0,3.718779e-17,0
1.0,2.1788227e-17,0
0.999997,2.9350172e-06,0
1.0,4.952453e-17,0
1.0,3.1577514e-08,0
0.99999297,7.0333563e-06,0
1.0,3.48418e-17,0
0.9899178,0.010082159,0
1.0,7.9272616e-17,0
0.99999356,6.452451e-06,0
0.9999721,2.7836017e-05,0
1.0,1.2816614e-08,0
1.0,2.0851231e-17,0
0.9999962,3.867398e-06,0
1.0,6.6824553e-17,0
1.0,3.2400648e-17,0
1.0,1.6926084e-17,0
0.9999906,9.444601e-06,0
0.99997425,2.580628e-05,0
